date,value
1-1-2021,"487,500"
1-2-2021,"487,500"
1-3-2021,"390,000"
1-4-2021,"357,500"
1-5-2021,"580,000"
1-6-2021,"585,000"
1-7-2021,"536,250"
1-8-2021,"536,250"
1-9-2021,"420,000"
1-10-2021,"373,750"
1-11-2021,"700,000"
1-12-2021,"615,000"
1-13-2021,"568,750"
1-14-2021,"536,250"
1-15-2021,"435,000"
1-16-2021,"503,750"
1-17-2021,"620,000"
1-18-2021,"633,750"
1-19-2021,"647,500"
1-20-2021,"520,000"
1-21-2021,"487,500"
1-22-2021,"562,500"
1-23-2021,"580,000"
1-24-2021,"508,750"
1-25-2021,"555,000"
1-26-2021,"426,250"
1-27-2021,"398,750"
1-28-2021,"471,250"
1-29-2021,"542,500"
1-30-2021,"481,250"
1-31-2021,"525,000"
2-1-2021,"385,000"
2-2-2021,"371,250"
2-3-2021,"422,500"
2-4-2021,"490,000"
2-5-2021,"481,250"
2-6-2021,"525,000"
2-7-2021,"398,750"
2-8-2021,"385,000"
2-9-2021,"422,500"
2-10-2021,"542,500"
2-11-2021,"536,250"
2-12-2021,"585,000"
2-13-2021,"426,250"
2-14-2021,"426,250"
2-15-2021,"455,000"
2-16-2021,"560,000"
2-17-2021,"245,000"
2-18-2021,"315,000"
3-9-2021,"315,000"
3-10-2021,"247,500"
3-11-2021,"250,000"
3-12-2021,"315,000"
3-13-2021,"262,500"
3-14-2021,"292,500"
3-15-2021,"303,750"
3-16-2021,"236,250"
3-17-2021,"225,000"
3-18-2021,"292,500"
3-19-2021,"280,000"
3-20-2021,"292,500"
3-21-2021,"292,500"
3-22-2021,"247,500"
3-23-2021,"212,500"
4-6-2021,"281,250"
4-7-2021,"360,000"
4-8-2021,"300,000"
4-9-2021,"312,500"
4-10-2021,"236,250"
4-11-2021,"212,500"
4-12-2021,"390,000"
4-13-2021,"360,000"
4-14-2021,"325,000"
4-15-2021,"325,000"
4-16-2021,"247,500"
4-17-2021,"225,000"
4-18-2021,"406,250"
4-19-2021,"405,000"
4-20-2021,"375,000"
4-21-2021,"375,000"
4-22-2021,"281,250"
4-23-2021,"250,000"
4-24-2021,"520,000"
4-25-2021,"427,500"
4-26-2021,"400,000"
4-27-2021,"375,000"
4-28-2021,"292,500"
4-29-2021,"350,000"
4-30-2021,"455,000"
5-1-2021,"450,000"
5-2-2021,"467,500"
5-3-2021,"362,500"
5-4-2021,"337,500"
5-5-2021,"405,000"
5-6-2021,"422,500"
5-7-2021,"425,000"
5-8-2021,"467,500"
5-9-2021,"350,000"
5-10-2021,"325,000"
5-11-2021,"390,000"
5-12-2021,"455,000"
5-13-2021,"400,000"
5-14-2021,"440,000"
5-15-2021,"325,000"
5-16-2021,"312,500"
5-17-2021,"360,000"
5-18-2021,"422,500"
5-19-2021,"412,500"
5-20-2021,"453,750"
5-21-2021,"337,500"
5-22-2021,"325,000"
5-23-2021,"360,000"
5-24-2021,"455,000"
5-25-2021,"450,000"
5-26-2021,"495,000"
5-27-2021,"350,000"
5-28-2021,"350,000"
5-29-2021,"375,000"
5-30-2021,"471,250"
5-31-2021,"213,750"
6-1-2021,"123,750"
6-2-2021,"96,250"
6-3-2021,"50,000"
6-4-2021,"96,250"
6-5-2021,"123,750"
6-6-2021,"236,250"
6-7-2021,"78,750"
6-8-2021,"78,750"
6-9-2021,"40,000"
6-10-2021,"96,250"
6-11-2021,"123,750"
6-12-2021,"247,500"
6-13-2021,"100,000"
6-14-2021,"90,000"
6-15-2021,"33,750"
6-16-2021,"75,000"
6-17-2021,"112,500"
6-18-2021,"225,000"
6-19-2021,"75,000"
6-20-2021,"60,000"
6-21-2021,"33,750"
6-22-2021,"60,000"
6-23-2021,"112,500"
6-24-2021,"297,000"
6-25-2021,"110,000"
6-26-2021,"87,500"
6-27-2021,"50,000"
6-28-2021,"75,000"
6-29-2021,"162,500"
6-30-2021,"250,000"
7-1-2021,"112,500"
7-2-2021,"80,000"
7-3-2021,"70,000"
7-4-2021,"87,500"
7-5-2021,"192,500"
7-6-2021,"287,500"
7-7-2021,"146,250"
7-8-2021,"100,000"
7-9-2021,"80,000"
7-10-2021,"112,500"
7-11-2021,"220,000"
7-12-2021,"275,000"
7-13-2021,"146,250"
7-14-2021,"100,000"
7-15-2021,"90,000"
7-16-2021,"100,000"
7-17-2021,"206,250"
7-18-2021,"250,000"
7-19-2021,"135,000"
7-20-2021,"80,000"
7-21-2021,"70,000"
7-22-2021,"87,500"
7-23-2021,"137,500"
7-24-2021,"255,000"
7-25-2021,"125,000"
7-26-2021,"75,000"
7-27-2021,"62,500"
7-28-2021,"75,000"
7-29-2021,"162,500"
7-30-2021,"240,000"
7-31-2021,"125,000"
8-1-2021,"97,500"
8-2-2021,"87,500"
8-3-2021,"90,000"
8-4-2021,"162,500"
8-5-2021,"300,000"
8-6-2021,"150,000"
8-7-2021,"125,000"
8-8-2021,"100,000"
8-9-2021,"120,000"
8-10-2021,"195,000"
8-11-2021,"145,000"
8-12-2021,"217,500"
8-13-2021,"157,500"
8-14-2021,"183,750"
8-15-2021,"150,000"
8-16-2021,"183,750"
8-17-2021,"168,750"
8-18-2021,"227,500"
8-19-2021,"166,250"
8-20-2021,"148,750"
8-21-2021,"120,000"
8-22-2021,"175,000"
8-23-2021,"202,500"
8-24-2021,"270,000"
8-25-2021,"150,000"
8-26-2021,"140,000"
8-27-2021,"120,000"
8-28-2021,"157,500"
8-29-2021,"140,000"
8-30-2021,"210,000"
8-31-2021,"131,250"
9-1-2021,"127,500"
9-2-2021,"113,750"
9-3-2021,"180,000"
9-4-2021,"150,000"
9-5-2021,"232,500"
9-6-2021,"156,250"
9-7-2021,"192,500"
9-8-2021,"225,000"
9-9-2021,"360,000"
9-10-2021,"360,000"
9-11-2021,"400,000"
9-12-2021,"292,500"
9-13-2021,"270,000"
9-14-2021,"250,000"
9-15-2021,"481,250"
9-16-2021,"371,250"
9-17-2021,"412,500"
9-18-2021,"438,750"
9-19-2021,"258,750"
9-20-2021,"287,500"
9-21-2021,"510,000"
9-22-2021,"400,000"
9-23-2021,"440,000"
9-24-2021,"487,500"
9-25-2021,"262,500"
9-26-2021,"288,750"
9-27-2021,"465,000"
9-28-2021,"398,750"
9-29-2021,"371,250"
9-30-2021,"435,000"
10-1-2021,"270,000"
10-2-2021,"247,500"
10-3-2021,"337,500"
10-4-2021,"250,000"
10-5-2021,"250,000"
10-6-2021,"258,750"
10-7-2021,"191,250"
10-8-2021,"160,000"
10-9-2021,"287,500"
10-10-2021,"290,000"
10-11-2021,"290,000"
10-12-2021,"422,500"
10-13-2021,"325,000"
10-14-2021,"285,000"
10-15-2021,"472,500"
10-16-2021,"495,000"
10-17-2021,"495,000"
10-18-2021,"471,250"
10-19-2021,"373,750"
10-20-2021,"315,000"
10-21-2021,"542,500"
10-22-2021,"191,250"
10-23-2021,"101,250"
10-24-2021,"78,750"
10-25-2021,"30,000"
10-26-2021,"68,750"
10-27-2021,"101,250"
10-28-2021,"213,750"
10-29-2021,"56,250"
10-30-2021,"61,250"
10-31-2021,"20,000"
11-1-2021,"68,750"
11-2-2021,"101,250"
11-3-2021,"222,500"
11-4-2021,"75,000"
11-5-2021,"70,000"
11-6-2021,"11,250"
11-7-2021,"45,000"
11-8-2021,"87,500"
11-9-2021,"225,000"
11-10-2021,"75,000"
11-11-2021,"60,000"
